date,NTD,JPY,GBP,HKD,KRW,CAD,SGD,CNY,AUD,IDR,THB,MYR,PHP,EUR,DEM,FRF,NLG,VND
1993-01-05,25.405,125.25,1.5499,7.7427,788.2,1.2766,1.656,7.72,0.6732,2048.0,25.55,2.5908,,,1.6255,5.5425,1.8258,
1993-01-06,25.427,124.84,1.5423,7.7415,790.3,1.2794,1.653,7.72,0.6687,2048.0,25.51,2.593,,,1.635,5.5665,1.836,
1993-01-07,25.411,125.09,1.5309,7.7427,791.1,1.28,1.6588,7.745,0.6709,2049.0,25.54,2.5955,,,1.638,5.567,1.8415,
1993-01-08,25.423,125.42,1.5314,7.743,791.9,1.2826,1.662,7.745,0.6727,2049.0,25.55,2.597,,,1.6475,5.605,1.8515,
1993-01-11,25.45,125.36,1.5516,7.742,792.5,1.278,1.6602,7.715,0.6736,2050.0,25.54,2.5945,,,1.634,5.5245,1.8375,
1993-01-12,25.445,125.05,1.5434,7.7412,792.0,1.2777,1.6565,7.75,0.6741,2050.0,25.53,2.5935,,,1.632,5.534,1.8342,
1993-01-13,25.441,125.87,1.5492,7.7403,791.1,1.2788,1.6601,7.75,0.6696,2055.0,25.53,2.6015,,,1.622,5.4985,1.824,
1993-01-14,25.45,125.65,1.5375,7.738,792.2,1.2793,1.657,7.75,0.6702,2058.0,25.53,2.598,,,1.6243,5.503,1.826,
1993-01-15,25.436,126.05,1.5312,7.738,793.3,1.2813,1.6578,7.75,0.6745,2051.0,25.53,2.591,,,1.6355,5.529,1.8385,
1993-01-18,25.42,125.82,1.5518,7.737,792.7,1.2765,1.6593,8.29,0.6768,2051.0,25.53,2.594,,,1.6135,5.477,1.8122,
1993-01-19,25.499,125.46,1.5454,7.7346,792.7,1.2783,1.6559,8.3,0.6727,2051.0,25.53,2.5935,,,1.6128,5.4495,1.8124,
1993-01-20,25.491,125.39,1.5451,7.7347,791.1,1.2811,1.656,8.3,0.6696,2051.0,25.5,2.586,,,1.6009,5.419,1.8,
1993-01-21,25.503,124.68,1.5574,7.7352,791.4,1.2795,1.653,8.26,0.675,2049.0,25.435,2.5945,,,1.577,5.3325,1.7728,
1993-01-27,25.51,124.0,1.5106,7.7322,794.3,1.2691,1.6382,8.26,0.6741,2049.0,25.445,2.6025,,,1.587,5.3705,1.7848,
1993-01-28,25.49,124.15,1.5156,7.7332,793.4,1.2694,1.6375,8.3,0.6814,2050.0,25.455,2.624,,,1.586,5.3655,1.7841,
1993-01-29,25.49,124.3,1.487,7.7322,793.1,1.2679,1.6405,8.3,0.6796,2050.0,25.48,2.626,,,1.6113,5.4515,1.8132,
1993-01-30,25.475,124.3,1.487,7.7322,794.0,1.2679,1.6405,8.3,0.6796,2050.0,25.48,2.626,,,1.6113,5.4515,1.8132,
1993-02-01,25.487,124.95,1.459,7.7353,794.0,1.2633,1.6467,8.265,0.6741,2051.0,25.54,2.627,,,1.635,5.518,1.8413,
1993-02-02,25.547,124.98,1.4434,7.7372,795.8,1.2647,1.6487,8.265,0.6787,2052.0,25.55,2.625,,,1.642,5.5225,1.847,
1993-02-03,25.56,124.33,1.4349,7.7339,796.2,1.2669,1.6475,8.28,0.6798,2052.0,25.55,2.6205,,,1.6452,5.575,1.8525,
1993-02-04,25.615,124.6,1.4415,7.7342,796.0,1.2622,1.6482,8.28,0.6798,2052.0,25.56,2.633,,,1.6575,5.6045,1.8657,
1993-02-05,25.735,124.73,1.4445,7.7343,796.5,1.2616,1.6515,8.58,0.6764,2053.0,25.59,2.623,,,1.6603,5.6125,1.8675,
1993-02-08,26.01,124.35,1.4391,7.734,797.4,1.263,1.651,8.725,0.6709,2053.0,25.59,2.629,,,1.657,5.606,1.864,
1993-02-09,25.963,122.35,1.4304,7.7341,798.0,1.2681,1.65,8.725,0.67,2052.0,25.54,2.6338,,,1.6538,5.6012,1.861,
1993-02-10,25.948,121.52,1.4237,7.734,797.7,1.2645,1.6475,8.745,0.6709,2051.0,25.52,2.6295,,,1.6605,5.6146,1.8685,
1993-02-11,25.935,121.2,1.4174,7.7349,796.6,1.2563,1.6498,8.745,0.6764,2051.0,25.54,2.634,,,1.6575,5.607,1.865,
1993-02-12,25.935,120.45,1.4205,7.7338,797.5,1.2545,1.6492,8.595,0.6782,2052.0,25.51,2.634,,,1.6604,5.6165,1.8667,
1993-02-15,25.94,121.15,1.4205,7.7333,796.6,1.2545,1.6502,8.56,0.6782,2052.0,25.52,2.634,,,1.6604,5.6165,1.8667,
1993-02-16,25.978,120.62,1.4484,7.7342,796.7,1.2586,1.6491,8.56,0.687,2052.0,25.52,2.6295,,,1.628,5.504,1.834,
1993-02-17,25.96,119.25,1.4455,7.7318,797.1,1.2635,1.6425,8.53,0.687,2052.0,25.47,2.627,,,1.6236,5.509,1.8284,
1993-02-18,25.955,119.97,1.4476,7.7315,796.6,1.2608,1.6413,8.53,0.688,2051.0,25.46,2.627,,,1.6315,5.5057,1.8366,
1993-02-19,25.943,119.23,1.4539,7.7323,796.8,1.259,1.645,8.56,0.6908,2051.0,25.44,2.627,,,1.638,5.547,1.8438,
1993-02-22,25.946,116.85,1.4571,7.7317,796.9,1.2596,1.6413,8.655,0.6908,2051.0,25.405,2.6265,,,1.6247,5.487,1.8281,
1993-02-23,25.946,116.78,1.4531,7.7315,796.3,1.2535,1.6405,8.655,0.6966,2052.0,25.37,2.6265,,,1.6235,5.51,1.8273,
1993-02-24,25.895,116.93,1.431,7.7315,795.5,1.2601,1.6402,8.7,0.6961,2050.0,25.4,2.6253,,,1.6255,5.52,1.8286,
1993-02-25,25.796,117.53,1.432,7.7332,795.3,1.2506,1.6412,8.7,0.6937,2051.0,25.435,2.63,,,1.6345,5.551,1.8384,
1993-02-26,25.753,117.85,1.4269,7.7337,795.5,1.2496,1.6438,8.7,0.6961,2052.0,25.44,2.6305,,,1.646,5.588,1.8488,
1993-02-27,25.815,117.85,1.4269,7.7337,795.5,1.2496,1.6438,8.7,0.6961,2052.0,25.44,2.6305,,,1.646,5.588,1.8488,
1993-03-01,25.851,118.43,1.4391,7.7338,794.9,1.2488,1.6448,8.5,0.7065,2053.0,25.46,2.6305,,,1.6548,5.611,1.8613,
1993-03-02,25.89,118.5,1.4491,7.734,794.9,1.2464,1.644,8.5,0.7072,2053.0,25.45,2.6235,,,1.639,5.5605,1.8433,
1993-03-03,25.892,116.75,1.4505,7.7332,794.4,1.2426,1.6431,8.4,0.7072,2052.0,25.41,2.618,,,1.6454,5.5835,1.8523,
1993-03-04,25.84,116.98,1.456,7.7321,794.5,1.2438,1.6437,8.4,0.7096,2052.0,25.4,2.6165,,,1.6399,5.567,1.842,
1993-03-05,25.857,116.47,1.456,7.7325,793.4,1.2468,1.6435,8.3,0.708,2052.0,25.4,2.614,,,1.6693,5.6555,1.8747,
